X,Y,MoistDef1976,MoistDefAvg30,PercSand,PercOM,PercLutum,MHW,MLW,SoilType,GWC
249893,495638,18.5,2.3,50,5,16,30,140,1,1
250056,495357,0,0.3,50,6,12,30,110,1,1
250236,495378,11.1,1.6,50,6,14,30,130,1,1
250327,495128,0.3,0.2,60,14,20,30,115,1,1
250364,495024,5.9,1,40,6,18,30,130,1,1
250552,495745,20.2,2.4,40,0,12,35,140,1,1
250577,494921,8,1.3,50,6,13,30,130,1,1
250618,494835,43.5,4.5,50,4,18,35,140,1,1
250642,495004,8.3,1.2,50,6,16,30,130,1,1
250761,494873,13.3,1.6,50,4,14,35,140,1,1
250835,494940,20.2,2.4,50,1,14,35,140,1,1
250840,496161,9.8,1.4,70,2,12,30,115,1,1
250854,495295,19.6,2.3,50,4,12,35,140,1,1
250866,496034,10.9,1.5,40,10,14,35,140,1,1
250867,494619,15.3,1.9,40,6,14,55,140,1,1
250884,496258,21,2.4,30,2.5,14,30,130,1,1
250954,495024,11.1,1.6,50,6,14,30,130,1,1
250960,495880,13.3,1.6,50,5,15,35,140,1,1
250971,495976,34.9,3.5,40,3,17,50,150,1,1
250984,495103,43.4,4.6,40,4.5,14,35,140,1,1
250991,495617,49.1,5.4,40,6,12,35,150,1,1
251030,495262,30.1,3.2,40,5.5,12,35,140,1,1
251030,495691,31.5,3.4,50,6.5,14,35,160,1,1
251073,495429,15.6,2,40,5,12,35,140,1,1
251105,495889,10.6,1.3,50,8,16,35,140,1,1
251106,496122,20.2,2.4,40,3.5,12,35,140,1,1
251157,495433,33.8,3.6,30,3.5,12,30,140,1,1
251225,494987,15.5,1.9,50,5,14,130,45,1,1
251465,494456,28.2,3.1,30,2.5,13,30,130,1,1
251509,494156,88,12.9,-1,4,9,30,140,1,1
251571,494293,25.3,2.9,45,3,11,45,145,1,1
251595,495240,47.7,5,30,2,12,40,140,1,1
251611,494487,20.2,2.4,40,4,13,35,115,1,1
251613,495157,33.3,3.4,30,3,14,60,160,1,1
251622,495114,32.8,3.6,40,4,14,40,140,1,1
251669,494053,19.4,2.3,40,5,13,50,150,1,1
251689,495084,38.9,4.1,30,4.5,14,70,170,1,1
251698,494437,10.9,1.5,40,7,16,35,140,1,1
251799,494578,51.7,5.5,40,3.5,12,60,160,1,1
251829,495020,15.3,1.9,50,5,16,60,160,1,1
251836,494482,18.4,2,40,6,14,85,180,1,1
251927,494452,16.9,2.2,50,4,14,35,140,1,1
251963,494516,14.1,1.9,40,4.5,14,50,150,1,1
251992,494687,36.8,3.8,40,4,12,45,160,1,1
252120,496108,204.2,60.6,35,6,20,280,320,1,1
252150,494618,24.5,2.7,40,3,13,40,150,1,1
252165,494514,27.7,2.9,30,4,12,40,150,1,1
249947,495543,45.8,4.8,40,3.5,14,60,160,1,2
250040,495509,59.9,6.6,60,8,14,70,170,1,2
250071,495597,36.1,3.8,50,10,14,60,160,1,2
250088,495434,59.9,6.6,40,3.5,12,70,170,1,2
250093,495673,31.2,3.1,50,3,12,70,140,1,2
250103,495268,41.6,4.3,50,8,14,40,160,1,2
250131,495512,59,6.3,50,8,12,70,160,1,2
250141,495180,90.6,13.7,40,3,10,100,200,1,2
250154,495593,49.1,5.1,40,3.5,12,70,160,1,2
250169,495729,90.6,13.7,60,8,16,100,200,1,2
250176,495255,119.4,22.1,40,4,12,120,220,1,2
250184,495432,45.8,4.8,40,3,14,60,160,1,2
250211,495974,40.3,4.1,30,7,14,60,150,1,2
250216,495513,43.9,4.7,40,6,14,60,160,1,2
250235,495584,48.9,5.2,50,6,12,60,160,1,2
250238,495229,90.6,13.7,50,3,12,100,200,1,2
250249,495652,90.6,13.7,50,8,14,100,200,1,2
250256,495319,43.9,4.7,60,8,16,60,160,1,2
250263,495714,166.6,42.4,40,3.5,8,120,220,1,2
250265,495446,90.6,13.7,50,7,12,100,200,1,2
250275,495780,172.4,46.7,40,3,9,120,220,1,2
250306,495522,71.4,9.1,50,8,18,90,190,1,2
250310,495051,51.3,5.5,30,6,18,60,160,1,2
250322,495301,36.1,3.8,50,5,15,60,160,1,2
250323,495389,56.9,6.5,50,8,15,140,70,1,2
250336,495652,59.9,6.6,50,7,12,70,170,1,2
250344,495715,108.4,19.1,30,5,11,100,200,1,2
250397,495541,80.1,11.2,50,8,20,100,200,1,2
250397,495872,81.2,11.7,50,8,20,100,200,1,2
250414,494811,61.5,7.1,40,4.5,14,70,180,1,2
250419,495654,42,4.4,40,4,11,50,160,1,2
250421,495502,94.8,14.8,60,6,12,100,200,1,2
250483,494783,30.4,3.9,60,7,18,60,160,1,2
250490,494928,56.9,6.4,60,8,14,70,170,1,2
250522,495571,118.2,21.9,40,4,14,120,220,1,2
250535,494857,74.1,7.6,40,4,13,130,160,1,2
250537,495013,39.8,4.2,40,4,15,60,160,1,2
250571,494771,82.5,8.6,40,2.5,18,130,160,1,2
250577,495819,48.7,5.3,50,5,16,70,170,1,2
250591,495097,63.2,7.8,40,7,20,70,170,1,2
250618,495892,36.1,3.8,40,5,18,60,160,1,2
250633,496118,34.9,3.5,40,4,14,50,150,1,2
250658,494906,47.8,5.1,50,3.5,17,60,160,1,2
250673,495098,32.7,3.4,40,4,16,50,150,1,2
250680,496049,16,1.9,50,6,13,50,140,1,2
250697,495572,33.2,3.6,70,8,16,50,160,1,2
250697,495636,131.6,27.4,60,4,14,130,250,1,2
250716,495167,21.9,2.5,60,8,20,70,170,1,2
250717,495715,153.6,37.6,60,4,14,150,280,1,2
250731,494967,48.9,5.2,50,6,12,60,160,1,2
250758,494372,54.1,7.2,60,8,20,90,200,1,2
250777,495654,118.2,21.9,40,5,16,150,120,1,2
250798,494304,32.3,3.6,70,4,12,80,180,1,2
250803,495253,3.9,0.6,80,8,18,125,45,1,2
250828,495785,51.8,6.2,40,5.5,15,80,190,1,2
250831,494374,36.1,3.8,60,8,20,60,160,1,2
250832,495951,39.9,4.5,80,6,14,60,160,1,2
250848,495442,50.6,5.6,40,6,14,60,180,1,2
250852,494996,62.5,7.1,60,6,15,70,170,1,2
250858,495677,85,12.9,60,6,15,120,220,1,2
250867,494247,31.8,3.4,50,6,15,60,160,1,2
250869,495100,36.1,3.8,40,6,16,60,160,1,2
250879,495183,36.1,3.8,40,6,18,60,160,1,2
250889,495752,153.6,36.8,40,2.5,14,150,235,1,2
250933,494394,30.7,3.4,50,8,14,60,160,1,2
250933,495672,170.4,45.4,50,2.5,14,160,260,1,2
250942,495092,45.8,4.8,40,6,14,60,160,1,2
250947,495524,45,4.6,40,3,14,55,160,1,2
250948,495279,58.7,6.5,30,10,14,60,160,1,2
250949,494202,55.8,6.5,50,5,14,150,80,1,2
250977,494459,64,7.4,60,5,15,90,190,1,2
250978,494278,57.3,6.5,50,4,16,70,170,1,2
250982,495744,167.7,44,60,3.5,13,150,265,1,2
250993,494358,64.2,8.1,50,6,15,90,190,1,2
251038,494416,31.8,3.4,60,6,16,60,160,1,2
251046,495342,52,5.5,40,4,14,60,160,1,2
251051,495960,38.2,3.9,40,6,14,60,160,1,2
251059,494512,22.7,2.5,40,7,17,120,40,1,2
251061,496054,32.6,3.4,50,5,16,60,160,1,2
251070,494309,17.3,2.1,40,5,16,40,140,1,2
251072,495800,118.2,21.9,80,2.5,13,120,220,1,2
251083,495065,39.8,4.1,40,6,14,60,160,1,2
251093,495162,42.8,4.6,40,5,14,60,160,1,2
251113,495258,57.4,6.1,40,4,12,60,160,1,2
251119,494982,83.2,11.3,40,5,14,35,140,1,2
251122,495472,42.8,4.8,60,3,12,60,160,1,2
251127,494473,67.3,8.1,50,6,20,90,190,1,2
251131,495951,31.2,3.1,40,7,14,60,150,1,2
251137,494249,75.4,9.1,50,4,15,70,170,1,2
251144,495641,48.6,5,-1,6,13,60,150,1,2
251147,495350,61.7,7,30,5,12,60,160,1,2
251172,495175,128.5,24.6,50,4.5,8,90,190,1,2
251180,495079,85.6,12,50,5,12,90,190,1,2
251201,495925,32.6,3.4,50,8,15,60,160,1,2
251209,495264,27.1,2.8,40,5,14,60,160,1,2
251216,494468,32.4,3.5,60,5,16,70,170,1,2
251218,494409,38.7,4.1,40,5,12,60,160,1,2
251246,495868,200.2,67.8,50,2.5,14,170,270,1,2
251261,495627,45,4.9,50,8,14,70,170,1,2
251269,495080,35.4,3.6,60,6,14,90,190,1,2
251277,495719,26.6,2.7,40,7,14,50,140,1,2
251309,495939,36.9,3.7,60,5.5,13,50,150,1,2
251309,494350,81.5,11.1,50,7,12,90,190,1,2
251337,494853,70.4,8.7,50,4,14,30,130,1,2
251345,495865,169.9,45.3,60,5,14,160,260,1,2
251346,495571,59.4,7,40,5,12,70,170,1,2
251349,494019,29.6,3.1,50,5,13,45,145,1,2
251358,495500,59.9,6.6,40,4,14,70,170,1,2
251360,495642,41.1,4.3,40,5,14,60,160,1,2
251378,494301,45.8,4.8,40,4,14,60,160,1,2
251379,494653,59.9,6.6,40,4,14,70,170,1,2
251387,495157,79.9,11,40,5,14,60,160,1,2
251394,495256,48.9,5.2,40,4,12,70,170,1,2
251401,494928,30.3,3.2,60,3,15,30,150,1,2
251417,495361,90.6,13.1,40,5,11,90,190,1,2
251421,494376,43.9,4.7,40,5,15,60,160,1,2
251430,495442,52.3,5.8,45,5,12,70,170,1,2
251430,493980,70.1,8.3,30,5,12,50,160,1,2
251460,495770,174.9,44.2,40,4.5,15,90,190,1,2
251484,494337,33.4,3.6,50,15,15,45,150,1,2
251491,495153,47.3,5.7,50,5,14,60,160,1,2
251507,494012,47.6,5.3,50,5,12,110,40,1,2
251507,495266,81.5,11.2,50,4,14,120,50,1,2
251535,494664,56.9,6.4,40,4.5,14,70,170,1,2
251541,495098,66,8.7,60,2.5,12,70,170,1,2
251558,494321,48.6,5,30,5,12,70,170,1,2
251560,495342,84.8,12.2,50,4,12,90,190,1,2
251583,494113,41.3,4.3,40,4.5,13,35,130,1,2
251610,494634,59.9,6.6,50,3.5,14,30,140,1,2
251631,494367,59.9,6.6,40,4,14,70,170,1,2
251654,494242,41.1,4.3,60,3.5,13,80,30,1,2
251696,495015,47.4,5.2,40,6,20,100,40,1,2
251729,494326,22.8,2.6,60,5,12,55,145,1,2
251736,494209,26.1,2.9,45,5,11,60,160,1,2
251749,494515,70.9,8.9,50,4,16,90,190,1,2
251771,494414,43.9,4.7,40,4,16,35,140,1,2
251776,494942,45.2,4.8,50,5,16,70,230,1,2
251799,494836,12.5,1.6,40,5,25,35,150,1,2
251822,494301,38.6,4,30,4.5,14,25,115,1,2
251833,494636,26.1,3,50,6,16,100,35,1,2
251852,494398,86,12.1,-1,4,12,60,160,1,2
251865,494918,121.2,23.5,50,4.5,19,120,250,1,2
251892,494552,33.9,3.6,60,5,14,30,130,1,2
251924,494707,100.2,11.4,50,4,14,40,140,1,2
251926,495453,65.5,8.7,40,7,19,50,200,1,2
251929,494366,69.8,8.2,40,5,12,65,160,1,2
251933,494994,128.9,25.9,60,4,16,120,250,1,2
251943,494621,90.6,13.1,40,2.5,13,120,45,1,2
251953,495829,198.8,65.4,25,5,15,190,270,1,2
251961,494892,97.8,16.6,50,5,20,100,200,1,2
251980,495502,63,8,35,5.5,18,260,320,1,2
252022,494439,34.2,3.7,50,4,14,35,140,1,2
252023,496050,199.7,57.2,35,7,21,320,400,1,2
252034,494852,80.7,12.4,60,7,25,100,250,1,2
252042,495891,224.2,99.1,15,3,8,220,320,1,2
252043,494285,58.9,6.8,50,3,13,55,160,1,2
252049,495015,82.3,13.1,50,7,20,120,250,1,2
252080,494400,105.2,16.2,30,3.5,13,60,160,1,2
252105,495983,229.4,79.1,35,5,14,190,320,1,2
252122,494914,83.1,12.2,40,5,16,120,250,1,2
252135,495165,95.3,14.8,45,7,18,160,220,1,2
252172,494694,49.6,5.4,40,2.5,12,120,45,1,2
252211,494766,43.1,5.2,50,4,12,90,200,1,2
252224,496086,222.9,90.2,25,5,12,265,320,1,2
252225,494804,62,7,50,8,20,120,80,1,2
252234,494494,47.5,5.4,60,4,13,110,65,1,2
252241,494950,84.3,12.4,50,5,14,90,200,1,2
252251,494268,45,5,70,3,13,65,165,1,2
252252,494659,103.1,17.3,60,4,12,60,180,1,2
252293,494735,97.7,15.5,50,2,12,90,190,1,2
252307,496153,238,83.9,30,6,18,135,225,1,2
252315,494545,96.5,16,60,3,13,130,95,1,2
252324,494622,88.3,13.6,40,4,13,90,200,1,2
252346,494461,38,3.9,60,3,15,95,190,1,2
252351,494792,59.4,8.1,50,4,12,100,200,1,2
252351,494955,133.7,30.9,30,4.5,14,150,250,1,2
252369,494700,105.9,17.8,40,3,12,100,200,1,2
252417,494876,122.7,23.5,50,4,17,60,160,1,2
252444,494685,91.8,13.9,40,4,14,300,320,1,2
252621,495161,164.7,41.2,-1,7,20,300,320,1,2
251696,494859,3.1,0.4,60,5.5,25,70,170,2,1
250205,494985,72.9,9.2,40,6,12,90,180,2,2
250238,495066,50.8,5.9,50,7,14,100,200,2,2
250265,495146,80.1,11.2,50,8,20,100,200,2,2
250271,494969,47.8,5.1,50,10,20,70,170,2,2
250337,494932,17.1,2,70,7,20,80,170,2,2
250419,494942,159.3,37.9,80,5,16,150,300,2,2
251095,494746,59.3,7.1,60,5,15,100,200,2,2
251129,494577,14.4,1.7,70,5,24,70,170,2,2
251225,494713,64.8,6.4,70,6,14,90,190,2,2
251274,494601,103.8,17.3,80,5,18,145,250,2,2
251287,494675,41.4,4.7,80,5.5,17,90,190,2,2
251307,494702,63.6,7.4,50,5,14,90,190,2,2
251618,495008,177.5,50.8,80,5,20,40,160,2,2
251639,494892,64.1,7.8,60,6,20,35,140,2,2
251747,495711,146.8,35.1,99,7,19,250,350,2,2
251752,495544,116.5,23.5,99,7,21,230,345,2,2
251832,495935,152.3,35.3,99,8,16,140,75,2,2
251863,495572,162.7,39.3,99,7,19,260,320,2,2
251870,495796,161.1,41.6,99,7,16,160,270,2,2
251938,495960,154.4,33.4,99,7,19,260,320,2,2
251957,495348,4.4,0.5,60,8,22,80,210,2,2
252009,495674,157.8,37.3,99,8,20,300,320,2,2
252030,495763,144.7,34.9,99,7,17,250,320,2,2
252084,495845,162.3,39.9,99,8,19,320,320,2,2
252090,495542,121.9,24.7,99,7,20,270,320,2,2
252095,495714,172.1,45.5,99,7,21,185,300,2,2
252163,495386,136.4,24.3,55,6,18,165,260,2,2
252180,495494,191.1,53.7,99,6.5,19,320,320,2,2
252184,495693,120.6,34.2,99,8,20,320,320,2,2
252236,495039,112,21.6,80,6,20,100,200,2,2
252237,495849,179.8,41.4,99,7,19,320,320,2,2
252249,495637,163.4,40.5,99,7,19,300,320,2,2
252256,495957,136.6,30.7,99,8,20,300,320,2,2
252277,495301,104.6,17.8,60,7,22,320,320,2,2
252317,495585,122.4,35,99,8,19,220,320,2,2
252344,495807,192.8,54.8,99,8,20,320,320,2,2
252357,495927,138,29.2,99,8,19,320,320,2,2
252371,495464,171.9,43.9,99,7,19,320,320,2,2
252378,495772,147.4,34.2,99,8,17,320,320,2,2
252413,494969,168.6,39.4,99,7,20,300,320,2,2
252438,495719,101.6,34.1,99,8,20,45,220,2,2
252465,495015,136,28.5,90,7,21,300,320,2,2
252539,495371,145,33.9,99,7,22,230,320,2,2
252546,495604,136.6,30.5,99,7,20,320,320,2,2
252555,495188,133.9,28.5,80,6,24,270,320,2,2
252620,495854,142.4,29.8,99,7,21,320,320,2,2
252635,495374,185.6,39.9,99,7,19,320,350,2,2
252676,495213,157.8,35,-1,8,16,320,320,2,2
252727,495340,125.5,26.8,99,7,18,320,320,2,2
252836,495265,122.8,33.8,99,6.5,19,300,320,2,2
250013,495687,1.3,0.4,50,12,14,30,115,3,1
250303,496025,0.5,0.1,50,6,14,30,110,3,1
250325,495904,0,0,50,8,18,30,100,3,1
250328,495579,62.4,7.1,30,4,8,30,140,3,1
250376,495988,35.1,3.8,30,7,14,30,130,3,1
250380,495179,0.1,0.2,60,12,20,30,115,3,1
250414,495107,0,0.1,40,30,0,30,115,3,1
250417,494638,55.1,6.1,30,2,14,35,140,3,1
250428,495928,0.7,0.2,40,8,14,30,115,3,1
250459,495986,10.6,1.3,40,6,14,35,140,3,1
250461,495012,0,0,30,7,25,30,100,3,1
250477,495263,11.1,1.6,50,8,20,30,130,3,1
250482,495092,5.9,1,40,14,25,30,130,3,1
250483,496057,7.3,1,60,8,14,30,130,3,1
250483,495344,8.3,1.2,50,8,20,30,130,3,1
250490,495412,1.5,0.3,60,10,20,30,130,3,1
250496,494604,0,0.1,60,50,0,30,115,3,1
250529,495167,5.9,1,50,8,18,30,130,3,1
250543,495239,1.5,0.6,40,6,18,30,115,3,1
250544,495965,3.5,0.6,50,8,14,100,30,3,1
250563,495306,11.1,1.6,50,1,20,30,130,3,1
250567,495374,8.3,1.2,40,6,20,30,130,3,1
250569,494582,0,0,40,10,16,30,100,3,1
250633,495196,8.3,1.2,40,6,20,30,130,3,1
250636,495296,9.9,1.3,40,5,20,30,130,3,1
250660,495368,5.9,1,40,6,20,30,130,3,1
250666,495269,1.5,0.6,40,4,18,30,115,3,1
250697,495471,0,0.3,50,6,20,30,110,3,1
250727,494690,1.5,0.3,40,3,16,30,115,3,1
250727,495921,21,2.4,30,1.5,15,30,130,3,1
250753,495444,0,0.1,40,6,20,30,110,3,1
250763,495065,8.3,1.2,40,6,18,30,130,3,1
250774,496012,8.6,1.3,20,10,14,30,115,3,1
250783,494474,13.3,1.5,50,6,20,35,140,3,1
250797,495151,8.3,1.2,40,6,18,30,130,3,1
250797,495858,21,2.4,30,2,14,30,130,3,1
250852,495497,24.9,2.7,30,3.5,12,35,140,3,1
250870,495882,1.3,0.4,40,4,14,30,115,3,1
250921,494808,23.4,2.6,40,4,17,35,150,3,1
250925,494522,7.5,0.8,50,10,16,30,130,3,1
250959,494673,29.5,3.1,30,4.5,17,35,140,3,1
250963,496026,5,0.9,30,6,18,30,115,3,1
250978,495455,16.1,2,30,6,14,30,110,3,1
251032,494639,24.4,2.6,30,5,20,35,140,3,1
251093,495535,8.4,1.3,40,2.5,12,90,35,3,1
251110,494631,27.8,3,30,5,14,35,140,3,1
251114,494379,36.4,3.8,30,5,20,30,130,3,1
251140,496020,7.2,1.2,30,4,14,30,120,3,1
251153,494694,22.2,2.5,40,4.5,14,35,145,3,1
251158,494882,34,3.6,30,4,14,35,140,3,1
251172,495604,18.4,2.2,40,1.5,12,30,130,3,1
251173,495719,1.5,0.6,50,5,15,30,115,3,1
251190,494786,25.4,2.8,30,2,12,130,170,3,1
251206,494552,0,0.2,40,4.5,30,30,115,3,1
251212,494640,8.8,1.1,40,7,20,35,140,3,1
251261,495787,15.5,1.9,40,3.5,13,35,140,3,1
251262,496074,2.4,0.6,30,3.5,15,30,110,3,1
251277,494525,1.7,0.3,50,6,18,35,140,3,1
251282,494894,6.3,1.2,40,4,15,60,160,3,1
251311,495700,12,1.6,50,4,12,35,140,3,1
251334,495408,23.9,2.7,30,5,11,35,140,3,1
251341,495328,10.1,1.4,30,30,0,30,130,3,1
251364,495786,0.4,0.2,60,0,12,35,115,3,1
251369,494570,13.5,1.5,50,3,14,40,150,3,1
251375,494780,29.6,3.1,40,3,20,90,190,3,1
251418,495001,20,2.2,40,5,16,60,160,3,1
251444,495823,1.7,0.4,60,6,17,30,115,3,1
251453,494619,3.9,0.4,40,3,8,35,100,3,1
251458,495641,6.3,0.7,50,10,14,35,140,3,1
251472,495511,17.3,2.2,50,7,12,40,150,3,1
251474,494892,20.7,2.3,40,5,20,110,210,3,1
251531,494427,3,0.5,30,7,14,65,170,3,1
251544,494874,10.1,1.2,40,5,20,120,40,3,1
251610,494722,65.9,8.3,40,30,20,30,115,3,1
251650,494931,36.2,3.6,40,10,20,100,200,3,1
251679,494689,32,3.9,30,20,18,25,115,3,1
251690,495323,38.7,4.1,25,4,14,30,130,3,1
251740,494645,76.3,10.6,40,20,20,70,170,3,1
251748,494022,6.6,1.2,40,4,13,50,140,3,1
251772,495167,9.1,1.5,30,3,14,20,135,3,1
251808,494703,18.3,2.3,30,8,16,130,170,3,1
251828,494140,41.9,4.4,25,4,14,25,110,3,1
251871,494780,11.3,1.4,50,7,25,50,150,3,1
251917,494268,5.8,1.2,30,4,14,25,115,3,1
251922,494051,0,0.1,30,7,16,35,110,3,1
251938,494130,2.1,0.6,60,4.5,15,30,105,3,1
252023,494174,10.8,1.6,20,5,14,50,145,3,1
252032,494773,33.7,3.6,40,7,17,30,110,3,1
252064,494657,24,2.7,40,3.5,12,70,170,3,1
252097,494144,19.8,2.3,45,5,16,70,170,3,1
252109,494800,2.2,0.3,40,8,18,100,200,3,1
252222,494577,80.9,10.3,30,4,14,90,200,3,1
252507,495452,154.8,43.8,35,4,20,95,20,3,1
250506,495491,48.7,5.3,60,8,20,70,170,3,2
250582,495463,43.9,4.7,50,8,18,60,160,3,2
250587,494455,18.9,2.2,50,3.5,20,55,150,3,2
250655,494340,68.7,8.3,40,4,20,60,160,3,2
250680,494412,37.8,3.9,40,3,25,40,140,3,2
250726,494319,24.2,2.6,50,6,20,50,150,3,2
250854,495577,64.1,8.1,80,6,13,100,200,3,2
250902,495952,90.6,13.7,50,2.5,17,100,200,3,2
251002,494732,33.8,3.4,30,5,14,50,150,3,2
251285,495234,55.3,5.8,40,4.5,12,120,55,3,2
251502,495709,88.8,11.6,30,6,16,140,85,3,2
251529,495642,19.4,2.2,45,7,19,105,140,3,2
251540,495543,33.3,3.6,45,7,20,190,320,3,2
251541,495769,69.7,8.9,35,7,16,85,190,3,2
251627,495748,161.8,51.2,15,3,8,230,320,3,2
251663,495415,25.4,2.8,50,7,20,120,210,3,2
251802,495426,93.5,14.1,30,6,18,120,115,3,2
251809,495489,64.5,6.4,40,7,19,60,160,3,2
252006,495252,95.8,14.2,25,4,15,105,210,3,2
252010,495153,201.5,66.1,30,4,15,100,180,3,2
252024,494597,42.8,4.4,40,4,13,40,150,3,2
252090,495098,106.6,20.7,40,3,18,120,250,3,2
252106,495307,109.6,19.6,25,6,18,120,220,3,2
252133,494035,75.1,9.3,25,4,9,100,40,3,2
252134,494994,98.7,18,50,5,25,180,280,3,2
252202,494880,96.7,18,50,10,25,100,200,3,2
252208,494383,83.4,12.3,70,5,14,60,160,3,2
252220,494200,39.1,4.5,80,4,16,70,160,3,2
